Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Animoca Brands",1634688000,"2021-10-20",65000000,"","Animoca Brands focuses on driving digital property rights via NFTs and gaming to help build the open metaverse.","","","","","","10T Holdings + Adit Ventures + AngelHub + Black Anthem + Com2uS + Dragonfly Capital + Justin Sun + Kingsway Capital + Liberty City Ventures + Mirana Ventures + MSA Novo + Octava Foundation + Seek Ventures + Sequoia Capital China + Sigitech Holdings + Smile Group + Summer Capital + Tess Ventures"
"Unstoppable Finance",1634688000,"2021-10-20",5210000,"Seed","Unstoppable Finance is building a next-gen crypto wallet to bring DeFi to retail investors globally.","","Infrastructure","","","","Backed VC + Cadenza Ventures + Fabric Ventures + Inflection + Rockaway Blockchain Fund + Speedinvest"
"Manta Network",1634601600,"2021-10-19",5500000,"Seed","Manta Network delivers plug-and-play privacy for the entire DeFi stack.","","","","","","0xMaki + CMS Holdings + CoinFund + Divergence Capital + Global Coin Ventures + Kevin Hu + Kosmos Ventures + Longhash Ventures + ParaFi Capital + Sanctor Capital + Santiago Roel Santos + Skyvision Capital + Snow K + The Spartan Group + Zee Prime Capital + SNZ Holding"
"Element Finance",1634601600,"2021-10-19",32000000,"Series A","Element is an open-source protocol that offers BTC, ETH, and USDC at a discount for fixed and variable yield markets.","","DeFi","","","Ethereum","A.Capital Ventures + Advanced Blockchain + Alex Svanevik + a16z + Anthony Sassano + Cyrus Younessi + Darren Lau + David Hoffmann + Dean Eigenmann + Ethereal Ventures + Femboy Capital + Fernando Martinelli + Hart Lambur + Julian Koh + Kain Warwick + Marc Bhargava"
"Mint Songs",1634601600,"2021-10-19",3000000,"Seed","Mint Songs is the largest music NFT marketplace helping music artists build web3 communities","","NFT","","","","Castle Island Ventures + Coinbase Ventures + Dapper Labs + Freestyle Capital + IOSG Ventures + North Island Ventures"
"Concept Art House",1634601600,"2021-10-19",25000000,"Series A","Concept Art House powers Web3 projects for the biggest brands and IP in the World.","","","","","","Animoca Brands + Anthos Capital + AppWorks + Blockchain Coinvestors + Dapper Labs + Fabric Ventures + Gabby Dizon + Gala Games + HashKey + Jeff Zirlin + Kevin Lin + Liberty City Ventures + Mask Network + OneFootball + Polymorphic Capital + Protocol Labs + Redbeard Ventures + Steve Aoki + The Spartan Group + Vinny Lingham"
"Decentology",1634601600,"2021-10-19",4300000,"Seed","Decentology operates as a block-chain startup.","","","","","","Animal Ventures + Ascensive Assets + Autonomy Capital + Berezka DAO + Borderless Capital + Dapper Labs + David Phelps + Good News Ventures + Kae Huynh + Kosmos Ventures + Manta Ray Ventures + Meld Ventures + NOIA Capital + Portico Ventures + SevenX Ventures + Synapse + Unanimous Capital + X21 Digital"
"Sublime Finance",1634601600,"2021-10-19",2500000,"Seed","Sublime Finance is a decentralized lending platform.","Galaxy Digital + Electric Capital","DeFi","https://twitter.com/TheBlock__/status/1450470598577098759","","","Collab+Currency + FinTech Collective + Jill Carlson + Ryan Selkis"
"PsyOptions",1634601600,"2021-10-19",3500000,"Seed","PsyOptions is beta software and is a fully decentralized options protocol.","","DeFi","","","Solana","AirSpeed18 + Alameda Research + CMS Holdings + LedgerPrime + mgnr.io + Protofund + Wintermute Trading"
"GigLabs",1634601600,"2021-10-19",4500000,"Seed","GigLabs is on a mission to empower brands, creators and collectors to create defining and memorable NFT experiences.","","NFT","","","","Alumni Ventures + Amino Capital + Collab+Currency + Dapper Labs + Eterna Capital + Gaingels + Panoramic Ventures + Redbeard Ventures"
"Easy Button Capital",1634515200,"2021-10-18",1290000,"Seed","Residential Property Investment and Management Technology Company","","","","","",""
"Chimeras",1634515200,"2021-10-18",2000000,"Seed","Chimeras is a thrilling mobile game. It is a free-to-play and play-and-earn game with the integrated DEFI farming and NFTs.","","","","","","AU21 Capital + BullPerks + Lotus Capital + LVT Capital + Master Ventures + OIG Ventures + Otis Capital + Panda Capital + Poolz + Shima Capital + X21 Digital"
"Bakkt",1634515200,"2021-10-18",450000000,"Post-IPO Equity","Bakkt is a trusted digital asset platform that enables its customers to buy, sell, spend, send, and redeem digital assets.","","Centralized Exchange","","","",""
"Ethereum Enterprises",1634515200,"2021-10-18",100000000,"Seed","Ethereum Enterprises is a hedge fund company that focuses on blockchain and cryptocurrencies.","","","","","","Den Christian Bocassa"
"Genopets",1634515200,"2021-10-18",8300000.000000001,"Seed","Genopets is the worlds first Free-to-Play, Move-to-Earn NFT mobile game that makes it fun and rewarding to live an active lifestyle.","","Game","","","","Alameda Research + Alliance DAO + Animoca Brands + CMS Holdings + Kevin Lin + Konvoy Ventures + Mechanism Capital + Melanie Strong + Old Fashion Research + Pantera Capital + Richard Ma + Solana Ventures + Triblock + Valhalla Capital + Yield Guild Games + Xoogler + CMT Digital"
"Web3 PRO",1634515200,"2021-10-18",1400000,"Seed","Since 2017, Web3 PRO has been the #1 Web3 onramp for enterprises","","","","","","Peer Venture Partners + SeventySix Capital + VU Venture Partners + Young Sohn"
"Artie",1634256000,"2021-10-15",25000000,"Series A","A web3 mobile gaming and entertainment company.","","Gaming","","","",""
"Ardana",1634256000,"2021-10-15",6560000,"","Ardana is a decentralized stablecoin and DEX liquidity pool built on Cardano","","DeFi","","","Cardano","Ascensive Assets + cFund + Double Peak Group + Extra Watts + Faculty Group + iAngels + Justin Sun + Kosmos Ventures + Mechanism Capital + mgnr.io + Morningstar Ventures + Portico Ventures + Richard Ma + Selini Capital + Skynet Trading + Tenzor Capital"
"Aurora",1634256000,"2021-10-15",12000000,"Series A","Aurora provides ethereum compatibility, NEAR protocol scalability, and industry-first user experience through affordable transactions.","","Scaling Solution","","","Near + Aurora","Chronicle + Dragonfly Capital + Electric Capital + Global Coin Ventures + imToken + IOSG Ventures + Pantera Capital + Zero Knowledge Validation"
"Spice AI",1634169600,"2021-10-14",1060000,"Pre-Seed","Spice AI is creating technology to make artificial intelligence and machine learning more accessible to developers.","","","","","","Cardinia Ventures + Elysium Venture Capital + Founders' Co-op + Geek Ventures + Ihar Mahaniok + Madrona Venture Group + Mark Russinovich + Nat Friedman + Picus Capital + Protoscale Capital + TA Ventures"
"Colexion",1634083200,"2021-10-13",8000000,"Seed","Colexion is a blockchain-based non-fungible token (NFT) marketplace.","","NFT","","","","Suniel Shetty"
"Zone",1634083200,"2021-10-13",1600000,"Seed","Zone is a community-driven GameFi ecosystem built on Algorand blockchain.","","Gaming","","","","Borderless Capital + Karma Innovations + Sheesha Finance"
"Global Processing Services",1634083200,"2021-10-13",300000000,"Private Equity","Global Processing Services offers a platform that processes payments and manages credit, debit, and prepaid card transactions.","","","","","","Advent International + Viking Global Investors"
"Arcana Network",1634083200,"2021-10-13",2300000,"","Arcana is a Decentralised Storage Layer for Ethereum and EVM blockchains with a Privacy Stack for Auth, IAM, and KMS.","","Storage","","","Ethereum","Ajeet Khurana + Ajit Tripathi + Arcanum Capital + AU21 Capital + DCG + Fenbushi Capital + Ganesh Swami + HyperEdge + LD Capital + Nischal Shetty + Paradigm Shift Capital + Republic Crypto + Woodstock Fund"
"SheeldMarket",1633996800,"2021-10-12",10000000,"Series A","SheeldMarket is a cryptocurrency trading platform intended to keep the positions of the market participants hidden.","","Trading","","","","Alexis Bonillo + Atomico + Axeleo Capital + Draper Dragon + Pascal Gauthier + Semantic Ventures"
"Yup",1633996800,"2021-10-12",3500000,"Seed","Crypto social network that rewards and empowers curators","","Social Platform","","","Ethereum + Polygon","Dapper Labs + Distributed Global + LD Capital + Nader Al-Naji + Patrick Rivera + Scott Moore"
"SmartFi",1633996800,"2021-10-12",10000000,"ICO","SmartFi is a unique monetary system.","","","","","",""
"ShoeFy",1633996800,"2021-10-12",3650000,"","ShoeFy is a decentralised project that brings nonfungible and fungible tokens together on a single platform to give NFTs new utility layers.","","NFT","","","","AU21 Capital + Basics Capital + Catena + DuckDAO + Dutch Crypto Investors + Exnetwork Capital + Gate.io + Kommunitas + Moonwhale Ventures + NFT STARS"
"Goldsky",1633910400,"2021-10-11",1400000,"Pre-Seed","Goldsky is the leading platform for building web3 APIs.","","","","","",""
"DeHorizon",1633910400,"2021-10-11",8500000,"Seed","DeHorizon---Cutting a new decentralized horizon","","","","","","Akatsuki  + Animoca Brands + BitScale + Block Dream Fund + Bo Feng + Bybit + Darren Lau + Dialectic + Dragonfly + Dragonfly Capital Management + Everest Ventures Group + gumi Cryptos Capital + The Lao + Yield Guild Games + Youbi Capital"
"Rehuman",1633824000,"2021-10-10",4500000,"Seed","Blockchain identity & metaverse platform","","Metaverse","","","",""
"Vodra",1633824000,"2021-10-10",1300000,"","Vodra is a decentralized donation platform that facilitates and increases creator compensation across all online content platforms.","","Web3","","","","CCIX Global + Metaconomy Capital + Twin Apex Capital"
"Elpis Battle",1633824000,"2021-10-10",2150000,"","Elpis Battle is a tactical turn-based role-playing game built on binance smart chain.","","Game","","","","Avocado Guild + Coin98 + DeFi Capital + Fomocraft Ventures + Hashed + Hub Global + Hyperchain Capital + Kyber Ventures + Kyros Ventures + Signum Capital + SOTATEK JSC"
"ReNFT",1633651200,"2021-10-08",1500000,"Strategic ","NFT Rental Protocol","Animoca Brands","NFT","https://medium.com/renftlabs/renft-closes-1-5m-strategic-round-led-by-animoca-brands-8532694e5f3b","","","Lattice Capital + Play Ventures + Metacartel Ventures + Scalar Capital + Longhash Ventures + SkyVision Capital + Fedora Capital + Maeve Ventures"
"Tinyman",1633564800,"2021-10-07",2500000,"Seed","Tinyman is an automated market maker (AMM) on the Algorand blockchain.","","DeFi","","","Algorand","Arrington XRP Capital + BlockTower Capital + Borderless Capital + DCG + Eterna Capital + GoldenTree Asset Management + Kosmos Ventures + Polymorphic Capital + The Lao"
"ICRYPEX",1633564800,"2021-10-07",10000000,"Seed","ICRYPEX is a cryptocurrency exchange platform focusing on money and foreign exchange markets, fixed income products, and digital currencies.","","Centralized Exchange","","","",""
"Art Blocks",1633564800,"2021-10-07",6000000,"","Art Blocks allows digital artists to have their work react to alphanumeric figures generated by the Ethereum blockchain.","","NFT","","","Ethereum","Collab+Currency + Flamingo DAO + Galaxy Digital + Galaxy Interactive + Libertus Capital + The Lao + True Ventures"
"Centiglobe",1633564800,"2021-10-07",5780000,"Seed","Centiglobe is a fintech delivering a decentralized platform for Banks and FSP to improve cross-border payments for their clients.","Confidus Venture Capital","","","","",""
"Stader Labs",1633564800,"2021-10-07",4000000,"Seed","Stader Labs is building decentralized financial protocols and applications for efficient stake management on public blockchain networks.","","DeFi","","","Hedera + Ethereum + BSC + Fantom + Near + Terra2","Ahmed Al-Balaghi + Coinbase Ventures + Double Peak Group + Huobi Capital + Jaynti Kanani + Jump Capital + LedgerPrime + NEAR Foundation + Nemil Dalal + Pantera Capital + Solana Foundation + Sumit Gupta + Terra + Triblock + True Ventures"
"PowerLoom Protocol",1633478400,"2021-10-06",3100000,"Seed","Scaling trust as the first verification primitive","","","","","","Blockchain Capital + CMS Holdings + Fenbushi Capital + Protocol Labs"
"Recap",1633478400,"2021-10-06",950000,"Seed","Recap makes crypto taxes simple. We help users calculate crypto taxes in our simple-to-use, privacy-focused app.","","Taxes","","","",""
"Easy Crypto",1633478400,"2021-10-06",11760000,"Series A","Easy Crypto provides online cryptocurrency exchange services.","","Centralized Exchange","","","","Even Capital + GDP Venture + Hutt Capital + Icehouse Ventures + Nuance Capital + Pathfinder Asset Management + Seven Peaks Ventures"
"BitOasis",1633478400,"2021-10-06",30000000,"Series B","BitOasis is a cryptocurrency trading platform offering a digital asset wallet and exchange to buy, sell, and trade.","","","","","","Alameda Research + Banvest + DCG + Global Founders Capital + Jump Capital + Pantera Capital + NXMH + Wamda Capital"
"Strips Finance",1633478400,"2021-10-06",8500000,"ICO","STRIPS was designed to allow users to trade, speculate, and hedge interest rates.","","DeFi","","","Arbitrum","Fabric Ventures + Morningstar Capital + Multicoin Capital + Sequoia Capital India"
"Rogo",1633478400,"2021-10-06",2000000,"Pre-Seed","Rogo is a data aggregator and analytics platform that lets users explore, analyze, and visualize data using plain English.","AlleyCorp","Analytics","","","",""
"CoinSwitch Kuber",1633478400,"2021-10-06",260000000,"Series C","CoinSwitch Kuber is a cryptocurrency exchange platform allowing its users to buy and sell cryptocurrencies.","","Centralized Exchange","","","","a16z + Coinbase Ventures + Paradigm + Ribbit Capital + Sequoia Capital India + Tiger Global Management"
"Sky Mavis",1633392000,"2021-10-05",152000000,"Series B","Sky Mavis is a technology company that creates decentralized applications and services.","","Gaming","","","","Accel + a16z + Backed VC + Fabric Ventures + FTX + Libertus Capital + Mark Cuban + Paradigm + Samsung Next + Seven Seven Six + Snow K"
"USDi0",1633392000,"2021-10-05",10000000,"Series B","USDi0 is stable coin for fast and lawcost transfer","Dexzbitz Exchange","","","","",""
"Hex Trust",1633392000,"2021-10-05",10000000,"","Hex Trust is a fully-licensed and insured provider of bank-grade custody for digital assets.","","","","","","Algorand Asia Accelerator + Animoca Brands + BCW Group + Double Peak Group + Mind Fund + Ripple + Tessera Capital Partners + Token Bay Capital"
"Binamon",1633392000,"2021-10-05",7000000,"Series A","Binamon is a Gaming Metaverse of Digital Monsters that uses blockchain technology to secure the transactions","","Gaming","","","",""
"Masterworks",1633392000,"2021-10-05",110000000,"Series A","the first investment platform to securitize blue-chip art","Left Lane Capital","","https://finance.yahoo.com/news/masterworks-only-art-investing-platform-130000433.html","","","Galaxy Interactive + Tru Arrow Partners"
"Dappsradar",1633392000,"2021-10-05",3200000,"Seed","DappsRadar provides a global app store for decentralized applications.","","","","","",""
"Axie Infinity",1633305600,"2021-10-04",150000000,"Series B","Play-to-earn","a16z","NFT","https://www.coindesk.com/business/2021/10/04/axie-infinity-to-raise-150m-series-b-at-3b-valuation-report/","3000","",""
"Bluesky Digital As",1633305600,"2021-10-04",2580000,"Post-IPO Equity","Bluesky Digital is a digital asset company focused on Digital Mining, E-sports, Fintech, R&D, and Artificial Intelligence.","","Mining","","","",""
"Krypto",1633305600,"2021-10-04",2000000,"Seed","Krypto aims to disrupt the crypto trading industry by making the buy/sell/send process swift, easy, and risk- free.","","Trading","","","","Aaryaman Vir + Elevation Capital + Flucas Ventures + Rakesh Yadav + Ramakant Sharma + Upsparks"
"iCommunity Labs",1633305600,"2021-10-04",1650000,"ICO","Helping companies implement their vision using Blockchain in an easy way with APIs & SaaS Blockchain solutions","","","","","",""
"Marathon Digital",1633305600,"2021-10-04",100000000,"Post-IPO Debt","Marathon is a digital asset technology company that mines cryptocurrencies and focuses on securing and supporting the Bitcoin ecosystem.","Silvergate Bank","Mining","","","",""
"ysoy chain farm",1633132800,"2021-10-02",1000000,"ICO","ysoy chain farm is an interoperable, decentralized, smart multichain contract that provides the building block for defi developement.","","DeFi","","","",""
"Iris Energy",1633046400,"2021-10-01",115000000,"Convertible note issuance","Iris Energy operates data centers that mine Bitcoin using hydroelectricity.","","Mining","","","",""
"The Chaos",1633046400,"2021-10-01",1000000,"Seed","The Chaos is a community dedicated to developing a series of projects combining NFT and high-quality fashion content.","","","","","",""
"Knabu Distributed Systems Ltd",1633046400,"2021-10-01",2500000,"Seed","We are developing a Token Driven Development DApp to enable credible token projects","Beta.Ventures + Luno Expeditions","","","","",""
"Nifty Island",1633046400,"2021-10-01",20000000,"Pre-Seed","Nifty Island is an open social gaming platform and virtual world powered by web3.","","","","","","Alameda Research + Arrington XRP Capital + Distributed Global + Hashed + Solana Foundation + Yield Guild Games + CMT Digital"
"Magic Eden",1633046400,"2021-10-01",2500000,"Seed","Magic Eden is an NFT marketplace for users to discover, trade, and create NFTs.","6th Man Ventures","NFT","","","Solana",""
"Ocavu (formerly Seek)",1633046400,"2021-10-01",5330000,"Series A","Ocavu is a Web3 ecosystem that empowers brands for cross-platform 3D, NFTs, tokens, and decentralized community management at scale.","","","","","","Alan Swick + Ben Garrison + Blue Diamond Capital + Cameron George + Coby Cotton + Cody Jones + Cory Cotton + Dane Covington + Enger Investments + Eric Riddle + Garrett Hilbert + Gregg Lurcott"
"Chains",1633046400,"2021-10-01",1100000,"Pre-Seed","Chains is a platform that focuses on providing cryptocurrency and NFT solutions for retail users and SMBs, using institutional-grade tools.","","","","","",""
"DefenseArk",1633046400,"2021-10-01",1450000,"","Decentralized Realtime Endpoint Protection & Cyber Threat Intelligence","","Cybersecurity","","","",""
"Solend",1633046400,"2021-10-01",6500000,"Seed","DeFi borrowing and lending platform","","DeFi","","","Solana","Coinbase Ventures + Dragonfly + PetRock Capital + Polychain + Race Capital + Snow K + Solana Ventures"
"SolarMente",1633046400,"2021-10-01",2000000,"Seed","SolarMente installs and finances solar rooftops in Spain","Telegraph Hill Capital","","","","",""
"Genesis Block",1633046400,"2021-10-01",855000,"Debt Financing","Genesis Block is a developer of a Blockchain-powered online banking application to provide a full-service banking experience.","","CeFi","","","",""
"Akselos",1633046400,"2021-10-01",2100000,"Seed","Akselos is empowering citizens around the world enabling democratic tools and platforms.","","","","","",""
"Bridgesplit",1633046400,"2021-10-01",4500000,"Seed","Bridgesplit is a non-fungible token (NFT) financialization platform built on the Solana blockchain.","","NFT","","","Solana","Anthony Pompliano + Coinbase Ventures + CoinFund + Definitive Capital + Joe Montana + Jump Capital + Packy McCormick + Rebekah Keida + Rucker Park Capital + Solana"
"Swivel Finance",1633046400,"2021-10-01",3500000,"Series A","Swivel Finance is a decentralized protocol for fixed-rate lending and interest-rate derivatives.","","DeFi","","","Ethereum",""
"DoinGud",1632960000,"2021-09-30",5000000,"Seed","DoinGud operates an online marketplace for companies that use non-fungible tokens.","","","","","","Alameda Research + DAOsquare + Ellipti + Genblock Capital + Griff Green + Hard Yaka + IOSG Ventures + Jordan Ellis + Kinetic + Sandeep Nailwal + Supernova"
"Forta Protocol",1632960000,"2021-09-30",23000000,"","Forta Protocol is a security service aimed at smart contracts.","","Smart contract security","","","","a16z + Blockchain Capital + Coinbase Ventures + North Island Ventures + OpenZeppelin + True Ventures"
"Bit Digital",1632960000,"2021-09-30",80000000,"Post-IPO Equity","Bit Digital is a bitcoin company dedicated to integrating resources globally for bitcoin and bitcoin mining.","","Mining","","","",""
"Layer3",1632960000,"2021-09-30",2500000,"Seed","Layer3 is a crypto platform that provides tools for decentralized autonomous organizations (DAOs).","","Infrastructure","","","","6th Man Ventures + Balaji Srinivasan + Electric Capital + Jai Bhavnani + Kain Warwick + Lattice Capital + Mirana Ventures + ParaFi Capital"
"Zero Hash",1632960000,"2021-09-30",35000000,"Series C","Zero Hash is a B2B digital assets-as-a-service technology platform that offers turnkey solutions such as NFTs for its clients.","","","","","","DriveWealth + Ethan Bloch + Immad Akhund + Jason Gardner + Kalpesh Kapadia + Nyca Partners + Point72 Ventures"
"Coinshift",1632960000,"2021-09-30",2500000,"Seed","Coinshift is a crypto treasury management platform that helps businesses and decentralized autonomous organizations.","","","","","","Alliance DAO + BR Capital + ConsenSys Mesh + Ethereal Ventures + FinTech Collective + Gnosis + Longhash Ventures + Protocol Labs + Sequoia Capital India + Volt Capital + Weekend Fund"
"Gelato Network",1632960000,"2021-09-30",11000000,"Series A","Gelato Network is a contract automation tool that automates smart contract executions on Ethereum and beyond.","","Infrastructure","","","","6th Man Ventures + Dragonfly Capital + IDEO CoLab Ventures + Nascent + ParaFi Capital + Stani Kulechov"
"XDEFI Wallet",1632873600,"2021-09-29",6000000,"Series A","One wallet for all your crypto. Join more than 100,000 people that trust XDEFI Wallet!","","Infrastructure","","","","Alameda Research + Animoca Brands + CoinGecko + DeFiance Capital + Extra Watts + Mechanism Capital + Morningstar Ventures + Sino Global Capital"
"The Luxury",1632873600,"2021-09-29",10000000,"Seed","Concierge - Lifestyle Management, Financial Technology, Entertainment & Tourism","","","","","",""
"Talisman",1632873600,"2021-09-29",2350000,"Seed","Talisman is a community-owned wallet built for Polkadot, Kusama the Parachains.","","Infrastructure","","","","Advanced Blockchain + Bruno Skvorc + Chris Hutch + D1 Ventures + Derek Yoo + Digital Finance Group + Hypersphere Ventures + Jsquare + Koji Capital + Leigh Travers + PAKA Capital + Paperclip Ventures + Zee Prime Capital"
"The Sun Exchange",1632873600,"2021-09-29",2500000,"Convertible note issuance","The Sun Exchange is the peer-to-peer solar panel leasing platform,Connecting the world to the sun.","ARCH Emerging Markets Partners","","","","",""
"Cardashift",1632787200,"2021-09-28",1500000,"Pre-Seed","Cardashift is a community-run launchpad that raises funds, builds and accelerates startups that are solving social and environmental issues","","DeFi","","","","Jean-Christophe Bohin + Matters + smart-chain"
"Clearpool",1632787200,"2021-09-28",3000000,"Seed","A DeFi protocol and decentralized capital markets ecosystem. Uncollateralized borrowing and lending for institutions.","","DeFi","","","Ethereum + Polygon","Arrington XRP Capital + AscendEX + BCW Group + FBG Capital + Genesis Block Ventures + Hashkey Capital + Hex Trust + Huobi Ventures + Kinetic + Mentha Partners + Parsiq + Plutus VC + Sequoia Capital"
"Angle",1632787200,"2021-09-28",5000000,"Seed","Derivatives-backed Stablecoins","a16z","DeFi","https://blog.angle.money/angle-labs-raises-5m-to-build-derivatives-backed-stablecoins-for-a-more-inclusive-defi-5d2a091e930d","","Ethereum","Julien Bouteloup + Global Founders Capital + Wintermute + Fabric VC + Alven + Frédéric Montagnon"
"Unlock",1632787200,"2021-09-28",4000000,"Seed","Unlock is an access control protocol built on blockchain that let creators monetize their content without relying on a middleman. ","","","","","","Betaworks + Cherry Ventures + Cygni Capital + GMG Ventures + Metacartel Ventures"
"Merkle Science",1632787200,"2021-09-28",5750000,"Series A","Merkle Science is a software company that offers predictive crypto risk and intelligence platforms for businesses and government agencies.","","","","","","Darrow Holdings + Fenbushi Capital + Kenetic + Kraken Ventures + LuneX Ventures + Token Bay Capital + Uncorrelated Ventures"
"Paladin Finance",1632787200,"2021-09-28",2550000,"Seed","Seed Round Fundraising","Greenfield Capital","DeFi","https://twitter.com/Paladin_vote/status/1442883434301566985 ","30","Ethereum","Galaxy Digital + NFX + Semantic Ventures"
"Roll",1632787200,"2021-09-28",10000000,"Series A","Roll builds social token infrastructure for the creator economy.","","Infrastructure","","","","Alchemy + Animoca Brands + Audacity Fund Reno + Balaji Srinivasan + blue 9 capital + Galaxy Interactive + Gary Vaynerchuk + Greg Isenberg + Huobi + Hustle Fund + Hyung Kim + IOSG Ventures"
"Ziglu",1632700800,"2021-09-27",8430000,"Equity Crowdsale","Ziglu provides a digital platform that enables customers to exchange fiat currency for cryptocurrency.","","","","","",""
"Blofin",1632700800,"2021-09-27",12000000,"Series A","Blofin is a crypto-financial services company.","","","","","","Fenbushi Capital + KuCoin + Lingfeng Capital + Matrix Partners"
"Coinrule",1632700800,"2021-09-27",2100000,"Seed","Coinrule Catches the Next Market Opportunity on Your Behalf by Automating Your Investments","","","","","","Christophe Lassuyt + CV VC + Dan Scarfe + James Park + Justin Hamilton + Kevin Lin + Kube VC + Matteo Franceschetti + NV Ventures + NZVC + Robin Bade + Startup Leadership Program + Stelios"
"Yellow Card",1632614400,"2021-09-26",15000000,"Series A","Yellow Card develops an app-based cryptocurrency exchange platform to buy and sell bitcoin online.","","","","","","Blockchain.com Ventures + BlockFi + Castle Island Ventures + Coinbase Ventures + Fabric Ventures + GreenHouse Capital + MoonPay + Polychain + Raba + Square + Third Prime Ventures + Valar Ventures"
"Planet Sandbox",1632441600,"2021-09-24",1500000,"Seed","Planet Sandbox is a physics-powered NFT sandbox shooting game that allows players to control a planet.","","","","","","AU21 Capital + Basics Capital + Dec.Ventures + Dutch Crypto Investors + EMO Capital + Everse Capital + Exnetwork Capital + Good Games Guild + Icetea.io + Illuvium + KTS Capital + Kyros Ventures"
"Dunamu",1632355200,"2021-09-23",85120000,"Secondary Market","Dunamu provides a wide range of innovative services with a focus on fintech and blockchain.","","","","","","Altos Ventures + Saehan Venture Capital + Hana Financial Investment"
"Arival",1632355200,"2021-09-23",5000000,"Convertible note issuance","A fintech company building banking services for businesses and entrepreneurs across the world.","","","","","",""
"Grape Network",1632355200,"2021-09-23",1200000,"Seed","Grape Network operates as a DAO infrastructure protocol.","","","","","","Definitive Capital + Double Peak Group + Longhash Ventures + Multicoin Capital + Skyvision Capital + Solana Ventures + Triblock"
"Nuclio Digital School",1632355200,"2021-09-23",1170000,"","Nuclio Digital School is the business school of Nuclio Venture Builder, the startup incubator driven from Barcelona by Carlos Blanco.","Sabadell Venture Capital","","","","",""
"OnChain Studios",1632268800,"2021-09-22",3500000,"Seed","OnChain Studios is a software company.","","Infrastructure","","","","Edward Lando + Nadav Ben-Chanoch + Pareto Holdings"
"Continuum World",1632268800,"2021-09-22",2100000,"Seed","Continuum World is a gaming company.","","Gaming","","","","Alves Ventures + AU21 Capital + Basics Capital + Darkpool Ventures + Exnetwork Capital + Genblock Capital + Metavest + Onchain Capital (Pty) Ltd + OneMax Capital + Peech Capital + Pluto Capital + Shima Capital"
"cheqd",1632268800,"2021-09-22",2600000,"Seed","cheqd is building payment mechanisms for private and secure digital identity exchange","","","","","","Bixin Ventures + Bluenode Capital + Double Peak Group + Exnetwork Capital + Outlier Ventures + Skyvision Capital + TitanBlock"
"ARTHUR MINING",1632268800,"2021-09-22",2000000,"Seed","it's possible to mine bitcoins with the cheapest energy costs and the best practices of ESG. we make it!","Fuse Capital + Green Rock","Mining","","","",""
"SoRare",1632182400,"2021-09-21",680000000,"Series B","fantasy sports NFT game","SoftBank","Gaming","https://twitter.com/Sorare/status/1440181893274562562","4300","","Atomico + Bessemer Ventures + D1 Ventures + Eurazeo + IVP + LionTree + Benchmark + Accel + Headline"
"Prysm",1632182400,"2021-09-21",3000000,"Seed","The community ownership platform -- Own anything, together.","","","","","","Alameda Research + Free Company + Imran Khan + Lemniscap + Marc Weinstein + North Island Ventures + Polychain + Qiao Wang + Reciprocal Ventures + Tony Sheng + CMT Digital"
"BitClout",1632182400,"2021-09-21",200000000,"ICO","BitClout is an open-source social media platform that builds a Proof-of-Work blockchain for its users.","","Social Platform","","","","Alexis Ohanian + a16z + Arrington XRP Capital + Blockchain.com Ventures + Blockchange Ventures + Coinbase Ventures + Distributed Global + Hack Ventures + Pantera Capital + Social Capital + Sequoia Capital + TQ Ventures + Polychain + Winklevoss Capital"
"Dapper Labs",1632182400,"2021-09-21",250000000,"Series D","Dapper Labs is a consumer-focused flow blockchain product made for fun and games and supports digital collectibles.","","","","","","a16z + Blisce + Bond + Coatue + June Fund + North Island Ventures + TRUE Capital Management + Version One Ventures"
"Bit2Me",1632182400,"2021-09-21",5840000,"ICO","Suite of blockchain services for exchanging cryptocurrencies and boost the adoption of Bitcoin","","","","","",""
"SundaeSwap Labs, Inc.",1632182400,"2021-09-21",1300000,"Seed","SundaeSwap Labs contributes to the SundaeSwap protocol, a decentralized exchange and automated liquidity provision protocol built on Cardano","","DeFi","","","Cardano","Alameda Research + cFund + Double Peak Group"
"Portal",1632182400,"2021-09-21",8500000,"","Portal is a financial services company that trades crypto without putting coins at risk.","","DeFi","","","Ethereum + Terra + Solana + Near + BSC + Polygon + Avalanche + Celo + Fantom + Oasis + Aptos + Klaytn + Acala + Aurora + Terra2 + Moonbeam + Algorand","AC Capital + Adam Back + Arrington XRP Capital + Autonomy Capital + B21 Capital + Cabin VC + Dubai International Financial Centre + Coinbase Ventures + Craig Sellars + Genblock Capital + Krypital Group + LD Capital + Mike Novogratz"
"Amasa",1632182400,"2021-09-21",1500000,"Seed","Amasa puts a world of income streaming in the palm.","","","","","","Animoca Brands + Block Dream Fund + Double Peak Group + LD Capital + Maeve Ventures + Momentum 6 + Moonwhale Ventures + Skyvision Capital + Spark Digital Capital + Yield Guild Games + ZBS CAPITAL"
"Blockdaemon",1632182400,"2021-09-21",155000000,"Series B","Blockchain staking infrastructure","SoftBank","Infrastructure","https://www.coindesk.com/business/2021/09/21/blockchain-infrastructure-firm-blockdaemon-nabs-13b-valuation-in-155m-funding-round/","1300","","Morgan Creek Digital + Kenetic Capital + Kraken Ventures + Borderless Capital"
